kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_sma,koi_model_snr,koi_num_transits,koi_max_mult_ev,koi_max_sngle_ev,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_smass,koi_count,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec
K07540.01,CANDIDATE,21.980467,4.78,96,0.92,0.1448,10.1,62,8.091769,3.6462,625,36.07,5573,4.418,0.936,0.837,1,0,0,0,0
K07541.01,FALSE POSITIVE,7.214721393,2.36464,46801.5,16.79,0.06,582,185,1693.6122,214.80528,630,37.12,4705,4.696,0.552,0.552,1,0,1,0,0
K02704.03,CONFIRMED,8.15275885,1.746,16536,2.44,0.0439,9.2,65,7.1269426,3.2791908,305,2.03,3327,5.113,0.189,0.169,3,0,0,0,0
K03461.02,FALSE POSITIVE,3.18740907,6.19,137.5,0.81,0.0381,9.2,411,7.6943254,2.8573804,919,168.43,4808,4.589,0.715,0.723,2,1,0,1,0
K03716.02,FALSE POSITIVE,10.23273611,1.55,,,,,129,208.04103,35.275578,,,,,,,2,1,0,0,0
K04006.02,FALSE POSITIVE,0.962815183,2.581,20.7,1.12,0.0211,12.1,918,9.332012,7.06539,3152,23331.88,6638,3.792,2.445,1.349,2,0,0,0,1
K04032.05,CANDIDATE,7.23524221,2.685,60,0.82,0.0716,15.2,137,9.036653,5.8705406,948,191.14,5574,4.354,1.065,0.933,5,0,0,0,0
K04084.02,CANDIDATE,10.72900793,0.696,404.3,1.78,0.0944,10.1,126,8.084709,3.1186843,722,64.33,5375,4.541,0.876,0.972,3,0,0,0,0
K04084.03,CANDIDATE,8.19619768,2.109,197.4,1.55,0.0758,9.3,164,7.277291,2.872303,851,123.81,5323,4.378,0.995,0.862,3,0,0,0,0
K04157.02,CANDIDATE,5.215752,1.13,46.8,0.83,0.0628,5.1,247,7.806796,3.3118377,1156,422.67,6202,4.422,1.122,1.213,2,0,0,0,0
K04211.02,FALSE POSITIVE,0.696290095,3.839,120.5,12.63,0.0152,19.4,1491,10.345437,3.7632303,1969,3537.89,5904,4.543,0.867,0.958,2,1,0,1,1
K06353.01,CANDIDATE,10.0714369,6.891,49.5,1.98,0.098,10.8,136,7.281437,4.5318165,1362,814.46,5768,3.633,2.81,1.236,1,0,0,0,0
K06354.01,FALSE POSITIVE,0.62240698,1.186,155.8,1.63,0.0157,10.2,2145,11.445304,7.482952,2663,11894.49,6661,4.341,1.29,1.33,1,0,1,1,0
